fraud_amount,time_to_withdrawal,is_high_risk,complaint_hour,day_of_week,is_night,log_fraud_amount,amount_bucket_encoded,type_Credit Card Fraud,type_Fake Loan App,type_OTP Scam,type_Online Shopping Scam,type_Phishing,type_UPI Fraud,victim_city_encoded
-0.7311137923443757,1.3866434636112006,0,1.3793886947077987,0.5055510234889209,0,-1.1068956951685158,0,False,False,False,True,False,False,2
-0.017823546344589238,-0.778487458261073,1,-1.090514067442042,1.004614225353601,1,0.47735493304345306,2,False,False,False,False,False,True,3
1.2581928980361325,1.518472900546664,0,0.07943987252367203,-1.4907017839697994,0,1.2849539470026488,2,True,False,False,False,False,False,9
-0.7063024235396416,1.1453285621022165,0,-0.4405396563499786,1.004614225353601,0,-0.9652743347393661,0,False,False,False,False,True,False,1
-0.6103533657432301,-0.7248619245924098,0,-0.05055500969474063,-1.4907017839697994,0,-0.5650022809772007,0,False,False,True,False,False,False,3
-0.044029666526453924,-0.6734707881599411,1,-1.090514067442042,1.503677427218281,1,0.449841370441083,2,False,False,False,False,False,True,7
-0.3363338615914995,1.060421467126833,0,0.07943987252367203,1.004614225353601,0,0.06560388929903414,1,False,False,False,True,False,False,1
-0.3736168552700531,0.9732799749152555,0,1.3793886947077987,1.004614225353601,0,0.002005570898041325,1,False,False,False,False,True,False,6
-0.6041200644995864,-0.2623416967001905,0,0.7294142836157353,0.006487821624240791,0,-0.544326911268167,0,True,False,False,False,False,False,5
-0.15638244488701358,0.5509788972745334,0,1.1193989302709733,0.006487821624240791,0,0.32110774480746834,1,False,False,False,False,True,False,2
-0.14729209844953825,-0.4567342562490943,0,0.2094347547420847,0.5055510234889209,0,0.33224851733573973,2,False,False,False,False,True,False,3
-0.47380065084179174,-0.6555956102703867,0,-0.7005294207868039,0.5055510234889209,1,-0.19570276073867363,1,False,False,False,False,False,True,9
3.43908215958665,-0.3249048193136308,0,0.9894040480525607,1.503677427218281,0,1.9085462345920936,2,True,False,False,False,False,False,5
-0.24514801786361853,0.03483313571365096,0,1.3793886947077987,-1.4907017839697994,0,0.2042474091900964,1,False,False,False,False,True,False,8
1.8922239962431178,1.5832704203962986,0,0.7294142836157353,-0.4925753802404393,0,1.515385855047262,2,False,True,False,False,False,False,2
3.2698440129124986,0.17336576435769735,0,0.3394296369604974,-0.9916385821051193,0,1.873114082300503,2,True,False,False,False,False,False,9
0.6314194081467387,1.7776629799452024,0,0.9894040480525607,-0.4925753802404393,0,0.976858442655383,2,True,False,False,False,False,False,8
-0.5572876089802206,-0.8499881698192905,0,-0.7005294207868039,1.004614225353601,1,-0.4027396485546375,0,False,False,True,False,False,False,1
-0.20265499090091416,-0.8254098002211532,1,-1.2205089496604546,1.004614225353601,1,0.26211686349127666,1,False,False,False,False,False,True,9
-0.5717785796114552,-0.8298785946935419,0,0.7294142836157353,0.006487821624240791,0,-0.4441807137156382,0,False,False,False,False,False,True,5
-0.562315624049016,-0.7985970333868216,0,-1.3505038318788674,0.5055510234889209,1,-0.4168999580559315,0,False,False,True,False,False,False,4
-0.07623745202138398,-0.8700977449450391,1,-0.5705345385683913,0.5055510234889209,0,0.41481164711839613,2,False,False,False,False,False,True,2
-0.36956647371760487,-0.8633945532364563,1,1.3793886947077987,1.004614225353601,0,0.009140246182762449,1,False,False,True,False,False,False,3
-0.011362246070959557,2.0659002234142667,0,-0.31054477413156595,-0.9916385821051193,0,0.4840091770584453,2,True,False,False,False,False,False,0
-0.07364079159138369,1.0648902615992217,0,1.6393784591446239,-0.9916385821051193,1,0.41768776579997324,2,False,True,False,False,False,False,6
-0.24915224541569359,-0.823175402984959,1,-1.090514067442042,-0.4925753802404393,1,0.19859400594356486,1,False,False,False,False,False,True,1
3.032947392220391,1.6860526932612363,0,0.9894040480525607,1.004614225353601,0,1.8210067443082465,2,False,True,False,False,False,False,4
-0.037526195524528225,-0.16402821830764144,0,-1.090514067442042,1.503677427218281,1,0.4567494994854566,2,False,False,False,True,False,False,9
-0.8548180301963396,-0.8678633477088449,0,1.6393784591446239,-0.4925753802404393,1,-2.8796638460990587,0,False,False,False,False,False,True,5
-0.17268736298507198,-0.7114555411752441,1,-0.5705345385683913,-1.4907017839697994,0,0.30076687030957655,1,False,False,True,False,False,False,7
-0.14690901158715378,-0.838816183638319,1,-0.9605191852236292,1.004614225353601,1,0.3327149485534803,2,False,False,False,False,False,True,0
-0.444979512541223,-0.7963626361506274,0,-0.31054477413156595,-0.9916385821051193,0,-0.1341628031792427,1,False,False,True,False,False,False,2
-0.7389749529745394,-0.7248619245924098,0,-1.2205089496604546,-1.4907017839697994,1,-1.1569439271412245,0,False,False,True,False,False,False,2
-0.1491224119690272,0.5979012392346137,0,-1.090514067442042,1.004614225353601,1,0.3300166022661824,2,False,False,False,False,True,False,8
1.508100876968525,-0.47237503690245436,0,0.46942451917891004,-0.9916385821051193,0,1.383055889310286,2,False,True,False,False,False,False,8
1.4772243702761032,0.7297306761700771,0,0.3394296369604974,0.5055510234889209,0,1.371507746629118,2,False,True,False,False,False,False,9
-0.7404681604462747,-0.8902073200707878,0,-1.090514067442042,-0.9916385821051193,1,-1.1667787797201927,0,False,False,True,False,False,False,6
-0.6096643462667398,-0.7695498693162958,0,-1.090514067442042,-0.9916385821051193,1,-0.5626929731664592,0,False,False,True,False,False,False,8
3.145737031616378,0.6962147176271627,0,-0.5705345385683913,0.006487821624240791,0,1.8461985884468812,2,False,True,False,False,False,False,6
-0.26992163217649023,-0.8365817864021247,1,-0.8305243030052166,-0.4925753802404393,1,0.16867681327281195,1,False,False,True,False,False,False,8
-0.26971225061382165,0.5844948558174479,0,0.7294142836157353,-1.4907017839697994,0,0.16898351771576237,1,False,False,False,True,False,False,7
-0.8297625560875681,-0.823175402984959,0,0.46942451917891004,-1.4907017839697994,0,-2.143110603291805,0,False,False,False,False,False,True,6
-0.8122694106102964,-0.7427371024819642,0,-0.31054477413156595,1.503677427218281,0,-1.8488349706300036,0,False,False,False,False,False,True,0
-0.627696618960378,-0.861160156000262,0,0.8594091658341481,1.004614225353601,0,-0.6252073151032435,0,False,False,True,False,False,False,8
3.1023241285824454,0.6046044309431966,0,-0.7005294207868039,1.503677427218281,1,1.8365868905604672,2,True,False,False,False,False,False,8
-0.515692983056675,1.4648473668780009,0,-0.9605191852236292,0.006487821624240791,1,-0.29354950905118576,0,False,False,False,False,True,False,3
-0.4542308351263413,-0.778487458261073,0,1.5093835769262114,-0.4925753802404393,1,-0.15345424542209776,1,False,False,True,False,False,False,5
1.4088889997836311,0.5643852806916992,0,-0.31054477413156595,1.004614225353601,0,1.3454009204216393,2,False,True,False,False,False,False,6
